First Index,Second Index,Similarity,Total Neighbors a,Total Neighbors a_star,Matching Neighbor Pairs,total_b,total_b_star,b / a_neigh,b_star / a_star_neigh
1472,11068,0.8306096196174622,11,9,7,7,7,0.6363636363636364,0.7777777777777778
3729,16961,0.7943480014801025,4,6,0,0,0,0.0,0.0
1130,10810,0.8822581768035889,3,3,3,3,3,1.0,1.0
1141,10819,0.9012578129768372,2,2,2,2,2,1.0,1.0
5545,13806,0.9504764080047609,80,94,52,52,52,0.65,0.5531914893617021
1000,15130,0.9194338321685792,10,29,5,5,5,0.5,0.1724137931034483
4761,15567,0.9054138660430908,96,24,5,5,5,0.052083333333333336,0.20833333333333334
2289,11592,0.8725904822349548,10,13,5,5,5,0.5,0.38461538461538464
4519,13181,0.7870049476623535,13,5,0,0,0,0.0,0.0
1833,11312,0.951473593711853,184,129,70,70,70,0.3804347826086957,0.5426356589147286
4091,12883,0.9253461956977844,7,9,7,7,7,1.0,0.7777777777777778
7219,14768,0.864668071269989,4,4,2,2,2,0.5,0.5
2300,11601,0.943773865699768,8,15,4,4,4,0.5,0.26666666666666666
5697,18778,0.915418028831482,4,2,1,1,1,0.25,0.5
8133,15368,0.903800368309021,22,6,3,3,3,0.13636363636363635,0.5
3949,12799,0.9156485795974731,18,14,6,6,6,0.3333333333333333,0.42857142857142855
3020,12070,0.8658281564712524,13,12,5,5,5,0.38461538461538464,0.4166666666666667
4018,14705,0.8403186798095703,3,4,0,0,0,0.0,0.0
6412,17857,0.888188898563385,13,5,4,4,4,0.3076923076923077,0.8
3861,12686,0.8288981318473816,40,8,6,6,6,0.15,0.75
6957,14539,0.8944531679153442,14,10,9,9,9,0.6428571428571429,0.9
9391,16007,0.8155098557472229,9,9,9,9,9,1.0,1.0
879,10675,0.8663625121116638,25,11,8,8,8,0.32,0.7272727272727273
5903,14044,0.9560499787330629,69,95,23,23,23,0.3333333333333333,0.24210526315789474
3997,12812,0.9486231803894044,9,10,8,8,8,0.8888888888888888,0.8
6611,14396,0.8876352310180664,5,5,5,5,5,1.0,1.0
8173,19727,0.7749009132385254,6,5,0,0,0,0.0,0.0
3148,12112,0.9256789088249208,9,43,5,5,5,0.5555555555555556,0.11627906976744186
9047,15824,0.8118551969528198,9,5,4,4,4,0.4444444444444444,0.8
6942,14495,0.7470427751541138,5,19,4,4,4,0.8,0.21052631578947367
9127,16082,0.6841320395469666,37,14,4,4,4,0.10810810810810811,0.2857142857142857
2731,11909,0.946965992450714,28,18,12,12,12,0.42857142857142855,0.6666666666666666
1340,11006,0.8381470441818237,22,2,1,1,1,0.045454545454545456,0.5
3906,12693,0.8734992742538452,5,7,3,3,3,0.6,0.42857142857142855
3986,12802,0.8942779302597046,4,5,3,3,3,0.75,0.6
9769,16223,0.9319671988487244,5,4,4,4,4,0.8,1.0
4978,13587,0.823590874671936,11,2,2,2,2,0.18181818181818182,1.0
3380,12354,0.9492874145507812,22,17,12,12,12,0.5454545454545454,0.7058823529411765
9502,18210,0.9363242387771606,14,6,2,2,2,0.14285714285714285,0.3333333333333333
4744,13011,0.9339221715927124,32,13,1,1,1,0.03125,0.07692307692307693
5,10003,0.9056527614593506,8,5,3,3,3,0.375,0.6
8908,18640,0.8583608865737915,5,7,1,1,1,0.2,0.14285714285714285
9743,16207,0.9504694938659668,7,7,7,7,7,1.0,1.0
9977,16374,0.8895958662033081,11,14,11,11,11,1.0,0.7857142857142857
6426,14206,0.9320034384727478,2,5,2,2,2,1.0,0.4
9996,16387,0.9106483459472656,14,21,11,11,11,0.7857142857142857,0.5238095238095238
729,10708,0.9458075761795044,23,106,15,15,15,0.6521739130434783,0.14150943396226415
1331,11042,0.82509845495224,17,2,1,1,1,0.058823529411764705,0.5
2400,11665,0.9347116947174072,12,16,10,10,10,0.8333333333333334,0.625
3890,12690,0.8506566286087036,6,2,2,2,2,0.3333333333333333,1.0
8761,15588,0.7653858065605164,6,53,2,2,2,0.3333333333333333,0.03773584905660377
3708,12570,0.927825093269348,6,5,2,2,2,0.3333333333333333,0.4
7951,15225,0.9384917616844176,5,5,5,5,5,1.0,1.0
4664,19174,0.8803675174713135,6,4,0,0,0,0.0,0.0
1822,15480,0.8373170495033264,4,3,0,0,0,0.0,0.0
7067,14647,0.8934399485588074,2,1,1,1,1,0.5,1.0
9268,19031,0.8086379170417786,12,5,1,1,1,0.08333333333333333,0.2
1386,11014,0.7396345734596252,3,6,2,2,2,0.6666666666666666,0.3333333333333333
3135,12150,0.8939946889877319,3,3,3,3,3,1.0,1.0
55,14326,0.8096420764923096,87,11,3,3,3,0.034482758620689655,0.2727272727272727
3275,12273,0.9173402786254884,19,9,5,5,5,0.2631578947368421,0.5555555555555556
5896,19266,0.9388803243637084,9,97,2,2,2,0.2222222222222222,0.020618556701030927
9412,16043,0.9424747228622437,4,5,4,4,4,1.0,0.8
8822,15683,0.8910955190658569,16,7,4,4,4,0.25,0.5714285714285714
760,10588,0.8596246838569641,6,6,6,6,6,1.0,1.0
3399,12345,0.9229122400283812,10,10,9,9,9,0.9,0.9
5937,14050,0.851896345615387,8,6,3,3,3,0.375,0.5
4586,13332,0.8894588351249695,12,12,3,3,3,0.25,0.25
5331,19573,0.8324204087257385,6,5,0,0,0,0.0,0.0
2964,12008,0.6375582218170166,12,24,7,7,7,0.5833333333333334,0.2916666666666667
891,10662,0.911384105682373,7,4,4,4,4,0.5714285714285714,1.0
7902,15188,0.8776028156280518,10,4,4,4,4,0.4,1.0
6544,14319,0.97152841091156,5,5,4,4,4,0.8,0.8
2841,11937,0.9379399418830872,11,10,6,6,6,0.5454545454545454,0.6
9117,15865,0.8016034364700317,20,8,4,4,4,0.2,0.5
3942,12858,0.8920250535011292,50,20,11,11,11,0.22,0.55
3790,11183,0.9095996618270874,9,27,8,8,8,0.8888888888888888,0.2962962962962963
5101,13634,0.7834217548370361,5,4,2,2,2,0.4,0.5
2889,11950,0.9155871868133544,7,7,7,7,7,1.0,1.0
941,15214,0.8738003969192505,30,33,8,8,8,0.26666666666666666,0.24242424242424243
1270,10960,0.8372514247894287,5,10,4,4,4,0.8,0.4
6937,14515,0.9025012850761414,9,8,5,5,5,0.5555555555555556,0.625
9004,15701,0.885810375213623,5,5,0,0,0,0.0,0.0
6361,12921,0.8178146481513977,15,37,0,0,0,0.0,0.0
7421,16434,0.9014334082603456,6,19,1,1,1,0.16666666666666666,0.05263157894736842
819,10615,0.7598105669021606,81,10,7,7,7,0.08641975308641975,0.7
3525,12462,0.8228472471237183,9,3,2,2,2,0.2222222222222222,0.6666666666666666
4693,13436,0.8116466403007507,1,3,1,1,1,1.0,0.3333333333333333
1873,11338,0.8733491897583008,32,20,19,19,19,0.59375,0.95
3009,12051,0.9679135680198668,2,2,2,2,2,1.0,1.0
8935,15192,0.8426236510276794,4,9,0,0,0,0.0,0.0
3677,12559,0.8803694844245911,3,3,3,3,3,1.0,1.0
1577,11196,0.7741942405700684,1,2,1,1,1,1.0,0.5
3989,12825,0.879971981048584,1,2,1,1,1,1.0,0.5
7533,14954,0.8947832584381104,10,10,6,6,6,0.6,0.6
7606,14938,0.921306848526001,4,5,4,4,4,1.0,0.8
3740,12615,0.9360311627388,22,6,4,4,4,0.18181818181818182,0.6666666666666666
339,16542,0.879395067691803,9,4,2,2,2,0.2222222222222222,0.5
8291,13320,0.8003487586975098,171,10,2,2,2,0.011695906432748537,0.2
5107,16953,0.9086286425590516,6,6,0,0,0,0.0,0.0
7508,14897,0.7866668701171875,19,10,9,9,9,0.47368421052631576,0.9
2254,11560,0.8852754235267639,2,8,2,2,2,1.0,0.25
