First Index,Second Index,Similarity,Total Neighbors a,Total Neighbors a_star,Matching Neighbor Pairs,total_b,total_b_star,b / a_neigh,b_star / a_star_neigh
5818,11484,0.8289499878883362,8,6,0,0,0,0.0,0.0
3033,14219,0.8560746908187866,103,111,21,21,21,0.2038835,0.1891892
910,9989,0.7421449422836304,6,4,0,0,0,0.0,0.0
2746,13408,0.8291323184967041,4,2,0,0,0,0.0,0.0
8122,17165,0.8252969980239868,20,18,2,2,2,0.1,0.1111111
9171,12068,0.8098684549331665,19,17,4,4,4,0.2105263,0.2352941
1352,11124,0.850091278553009,27,39,5,5,5,0.1851852,0.1282051
6645,15584,0.790716290473938,15,14,2,2,2,0.1333333,0.1428571
6754,15198,0.773592472076416,14,11,5,5,5,0.3571429,0.4545455
5859,11350,0.7655173540115356,6,7,2,2,2,0.3333333,0.2857143
2233,17819,0.787629246711731,6,5,0,0,0,0.0,0.0
22,16243,0.8726359605789185,23,13,3,3,3,0.1304348,0.2307692
6026,13104,0.8552640080451965,5,5,0,0,0,0.0,0.0
4777,11058,0.8106145858764648,4,4,2,2,2,0.5,0.5
8616,11786,0.8215277194976807,2,3,0,0,0,0.0,0.0
4596,15741,0.8120553493499756,46,58,18,18,18,0.3913043,0.3103448
2995,13945,0.852188229560852,10,12,1,1,1,0.1,0.0833333
6975,16635,0.833829939365387,4,5,3,3,3,0.75,0.6
7425,14477,0.7482047080993652,73,70,14,14,14,0.1917808,0.2
413,16371,0.7209742069244385,66,62,12,12,12,0.1818182,0.1935484
1010,16361,0.8361780643463135,3,3,0,0,0,0.0,0.0
8874,13780,0.7482912540435791,5,5,0,0,0,0.0,0.0
5394,16251,0.8566134572029114,245,246,38,38,38,0.155102,0.1544715
7474,11745,0.8213729858398438,44,55,4,4,4,0.0909091,0.0727273
696,18007,0.8075295686721802,7,6,2,2,2,0.2857143,0.3333333
8445,14160,0.7794451117515564,4,5,0,0,0,0.0,0.0
373,15925,0.86681067943573,9,9,3,3,3,0.3333333,0.3333333
6379,11892,0.7834150791168213,36,16,6,6,6,0.1666667,0.375
3819,10019,0.8133120536804199,8,6,2,2,2,0.25,0.3333333
2122,10767,0.8290796875953674,10,15,4,4,4,0.4,0.2666667
1923,17611,0.7421729564666748,208,272,48,48,48,0.2307692,0.1764706
6340,16101,0.8460631370544434,136,124,38,38,38,0.2794118,0.3064516
4086,19030,0.7956768274307251,6,2,1,1,1,0.1666667,0.5
3868,19216,0.7751721143722534,4,3,1,1,1,0.25,0.3333333
1089,11643,0.8510438203811646,51,61,8,8,8,0.1568627,0.1311475
7450,12826,0.8522810339927673,86,274,45,45,45,0.5232558,0.1642336
7720,10206,0.7318941950798035,6,3,1,1,1,0.1666667,0.3333333
9410,13242,0.8198333978652954,24,270,19,19,19,0.7916667,0.0703704
4508,9719,0.8176232576370239,5,6,2,2,2,0.4,0.3333333
9503,18394,0.7980309724807739,3,2,0,0,0,0.0,0.0
1578,17963,0.8458566069602966,33,29,3,3,3,0.0909091,0.1034483
9489,16918,0.8630515336990356,4,4,1,1,1,0.25,0.25
5711,11590,0.8113064765930176,8,18,3,3,3,0.375,0.1666667
5395,17657,0.8909499645233154,17,14,2,2,2,0.1176471,0.1428571
1771,10401,0.8853509426116943,45,47,11,11,11,0.2444444,0.2340426
3761,19211,0.810443639755249,4,3,0,0,0,0.0,0.0
3487,17022,0.7336258888244629,3,5,1,1,1,0.3333333,0.2
2830,17246,0.8089715838432312,12,10,4,4,4,0.3333333,0.4
2598,16860,0.7649020552635193,9,5,3,3,3,0.3333333,0.6
5572,14320,0.6987311244010925,7,37,5,5,5,0.7142857,0.1351351
3208,10287,0.7785364985466003,51,56,15,15,15,0.2941176,0.2678571
2301,18888,0.8246113061904907,12,8,3,3,3,0.25,0.375
4518,16077,0.7792009711265564,5,5,0,0,0,0.0,0.0
3919,10873,0.8644189834594727,72,251,33,33,33,0.4583333,0.1314741
8425,13642,0.858617901802063,13,17,7,7,7,0.5384615,0.4117647
2722,13139,0.8225618600845337,12,10,1,1,1,0.0833333,0.1
8760,10779,0.7935963869094849,12,9,1,1,1,0.0833333,0.1111111
1885,9869,0.8273510932922363,5,4,1,1,1,0.2,0.25
7366,15320,0.7508995532989502,15,12,1,1,1,0.0666667,0.0833333
9244,10154,0.8618506789207458,13,11,2,2,2,0.1538462,0.1818182
2027,15322,0.6730488538742065,32,42,16,16,16,0.5,0.3809524
3605,12030,0.7682071924209595,24,26,5,5,5,0.2083333,0.1923077
3275,13058,0.8124469518661499,18,15,5,5,5,0.2777778,0.3333333
6596,16835,0.8354707956314087,36,40,6,6,6,0.1666667,0.15
6573,18429,0.8133201599121094,4,3,1,1,1,0.25,0.3333333
6197,16192,0.7836868762969971,8,6,0,0,0,0.0,0.0
8210,15043,0.834493100643158,34,112,20,20,20,0.5882353,0.1785714
524,17481,0.7853691577911377,9,6,0,0,0,0.0,0.0
916,13426,0.7984786033630371,4,13,2,2,2,0.5,0.1538462
7505,16768,0.7974920868873596,6,4,1,1,1,0.1666667,0.25
6880,10443,0.6728430986404419,9,22,0,0,0,0.0,0.0
2942,14431,0.8227982521057129,27,109,14,14,14,0.5185185,0.1284404
2564,13353,0.8556981086730957,19,18,0,0,0,0.0,0.0
3048,16255,0.6901615858078003,14,10,3,3,3,0.2142857,0.3
2979,11051,0.8419137001037598,148,126,19,19,19,0.1283784,0.1507937
7267,12020,0.8197729587554932,7,3,0,0,0,0.0,0.0
4813,17664,0.8273683786392212,9,7,0,0,0,0.0,0.0
5999,15654,0.8861483335494995,93,112,25,25,25,0.2688172,0.2232143
9424,13252,0.7143204808235168,5,2,0,0,0,0.0,0.0
9476,15514,0.8572409152984619,6,5,0,0,0,0.0,0.0
7169,12918,0.7310962080955505,68,66,23,23,23,0.3382353,0.3484848
2759,14058,0.8479212522506714,16,13,2,2,2,0.125,0.1538462
9546,18467,0.862517237663269,6,13,3,3,3,0.5,0.2307692
227,15810,0.7829990386962891,6,4,0,0,0,0.0,0.0
3088,17122,0.8236347436904907,14,12,5,5,5,0.3571429,0.4166667
802,12600,0.829679012298584,19,16,8,8,8,0.4210526,0.5
5374,12196,0.8013657331466675,5,4,1,1,1,0.2,0.25
5761,15988,0.7796639204025269,10,5,4,4,4,0.4,0.8
1984,15351,0.8840413689613342,18,33,2,2,2,0.1111111,0.0606061
7343,16867,0.8912781476974487,42,108,13,13,13,0.3095238,0.1203704
2525,19201,0.6553489565849304,5,5,3,3,3,0.6,0.6
8478,17557,0.7807098031044006,18,16,5,5,5,0.2777778,0.3125
5089,17553,0.8381993770599365,21,18,1,1,1,0.047619,0.0555556
5024,19150,0.8612561225891113,69,82,13,13,13,0.1884058,0.1585366
1549,18289,0.7719546556472778,5,4,0,0,0,0.0,0.0
6606,17225,0.8213696479797363,20,15,3,3,3,0.15,0.2
4732,10203,0.8644652366638184,31,30,2,2,2,0.0645161,0.0666667
3796,16525,0.8238735198974609,14,9,1,1,1,0.0714286,0.1111111
2819,10801,0.8030955791473389,82,268,47,47,47,0.5731707,0.1753731
6452,17697,0.8669443130493164,12,5,2,2,2,0.1666667,0.4
3093,14976,0.7654645442962646,5,4,1,1,1,0.2,0.25
2432,13918,0.8494629859924316,14,11,4,4,4,0.2857143,0.3636364
2245,16801,0.8213958740234375,69,63,8,8,8,0.115942,0.1269841
9365,16804,0.8323099613189697,49,49,11,11,11,0.2244898,0.2244898
4410,10682,0.8511240482330322,25,5,1,1,1,0.04,0.2
9485,13193,0.8653079271316528,7,4,2,2,2,0.2857143,0.5
7418,17525,0.8107907772064209,25,22,5,5,5,0.2,0.2272727
5898,11782,0.7912946939468384,5,2,1,1,1,0.2,0.5
7878,16872,0.7601560950279236,36,46,13,13,13,0.3611111,0.2826087
3085,10812,0.8696815967559814,91,85,13,13,13,0.1428571,0.1529412
7681,14637,0.8021258115768433,5,6,0,0,0,0.0,0.0
3694,16863,0.7563396692276001,22,43,8,8,8,0.3636364,0.1860465
8357,13837,0.8696814775466919,8,5,1,1,1,0.125,0.2
501,13048,0.8522168397903442,40,50,5,5,5,0.125,0.1
2730,18922,0.8499062061309814,94,303,64,64,64,0.6808511,0.2112211
7890,17785,0.807154655456543,7,3,2,2,2,0.2857143,0.6666667
9256,10867,0.8369358777999878,8,6,1,1,1,0.125,0.1666667
1063,14737,0.912123680114746,5,5,2,2,2,0.4,0.4
2778,18324,0.695152997970581,3,4,0,0,0,0.0,0.0
8976,16591,0.8122937679290771,8,7,2,2,2,0.25,0.2857143
6447,10950,0.7308586239814758,5,3,0,0,0,0.0,0.0
7280,12608,0.7616040110588074,8,6,1,1,1,0.125,0.1666667
901,14415,0.8252632021903992,7,4,2,2,2,0.2857143,0.5
768,16137,0.8610105514526367,55,56,13,13,13,0.2363636,0.2321429
4077,18097,0.6914787292480469,76,92,20,20,20,0.2631579,0.2173913
2440,12443,0.7809875011444092,14,2,1,1,1,0.0714286,0.5
3151,17788,0.7590934038162231,34,55,17,17,17,0.5,0.3090909
2818,12920,0.7971085906028748,7,5,0,0,0,0.0,0.0
793,11700,0.8236583471298218,37,40,9,9,9,0.2432432,0.225
6419,14500,0.8669500350952148,8,13,5,5,5,0.625,0.3846154
664,10832,0.8126075267791748,17,33,2,2,2,0.1176471,0.0606061
2396,18789,0.882853627204895,6,15,3,3,3,0.5,0.2
1369,12570,0.7596263885498047,3,3,0,0,0,0.0,0.0
8267,11706,0.8050076961517334,14,3,0,0,0,0.0,0.0
6482,16770,0.707059919834137,78,255,45,45,45,0.5769231,0.1764706
7851,15556,0.7796806693077087,13,8,2,2,2,0.1538462,0.25
5683,14616,0.8442908525466919,8,63,3,3,3,0.375,0.047619
6297,16846,0.7240384221076965,21,27,5,5,5,0.2380952,0.1851852
2350,12792,0.7745040655136108,10,9,3,3,3,0.3,0.3333333
9538,13604,0.8832107782363892,30,47,9,9,9,0.3,0.1914894
354,11406,0.8316253423690796,33,44,6,6,6,0.1818182,0.1363636
986,15820,0.8195833563804626,9,7,2,2,2,0.2222222,0.2857143
8224,16861,0.8923887014389038,33,42,10,10,10,0.3030303,0.2380952
8350,11573,0.9228879809379578,3,3,1,1,1,0.3333333,0.3333333
7960,13490,0.775391697883606,10,6,1,1,1,0.1,0.1666667
9366,9826,0.8058586120605469,10,7,1,1,1,0.1,0.1428571
9052,12110,0.861690104007721,12,14,2,2,2,0.1666667,0.1428571
7981,17750,0.8092349767684937,8,9,1,1,1,0.125,0.1111111
5298,12243,0.8145986795425415,10,5,2,2,2,0.2,0.4
4767,18385,0.7982552647590637,11,11,1,1,1,0.0909091,0.0909091
560,13209,0.8452640175819397,5,5,1,1,1,0.2,0.2
1203,11854,0.7225643992424011,11,8,2,2,2,0.1818182,0.25
145,16084,0.862777829170227,16,17,5,5,5,0.3125,0.2941176
427,11632,0.8378256559371948,5,10,2,2,2,0.4,0.2
2160,16436,0.8468420505523682,12,15,4,4,4,0.3333333,0.2666667
8408,10997,0.7903734445571899,9,3,1,1,1,0.1111111,0.3333333
5712,18011,0.7503433227539062,5,5,1,1,1,0.2,0.2
2402,10865,0.8661531209945679,3,2,0,0,0,0.0,0.0
1655,16794,0.9002623558044434,45,42,18,18,18,0.4,0.4285714
5255,13076,0.8054310083389282,8,4,1,1,1,0.125,0.25
7015,14636,0.7482547163963318,18,73,8,8,8,0.4444444,0.109589
8810,17200,0.8374937772750854,3,19,0,0,0,0.0,0.0
3708,11028,0.7700046300888062,12,10,2,2,2,0.1666667,0.2
1431,17351,0.693214476108551,4,4,1,1,1,0.25,0.25
3577,10279,0.8658649325370789,76,77,20,20,20,0.2631579,0.2597403
1970,11329,0.8240163326263428,20,18,7,7,7,0.35,0.3888889
6791,18274,0.8009410500526428,4,3,0,0,0,0.0,0.0
5313,18306,0.8274672627449036,14,12,1,1,1,0.0714286,0.0833333
3957,16278,0.8312045931816101,17,17,2,2,2,0.1176471,0.1176471
3335,15886,0.7699263095855713,9,4,1,1,1,0.1111111,0.25
8202,15107,0.8154206275939941,15,12,1,1,1,0.0666667,0.0833333
2217,14998,0.8586468696594238,34,28,3,3,3,0.0882353,0.1071429
5455,17163,0.8256325721740723,33,31,4,4,4,0.1212121,0.1290323
4619,11186,0.7532748579978943,14,10,4,4,4,0.2857143,0.4
9344,9792,0.7969347238540649,9,5,2,2,2,0.2222222,0.4
4516,15868,0.7790384292602539,121,126,37,37,37,0.3057851,0.2936508
2533,9991,0.841175377368927,19,20,6,6,6,0.3157895,0.3
4481,17609,0.8200830221176147,24,41,11,11,11,0.4583333,0.2682927
4733,13134,0.7878710031509399,7,17,1,1,1,0.1428571,0.0588235
860,16285,0.8036537170410156,5,3,1,1,1,0.2,0.3333333
7826,10488,0.846703827381134,14,25,5,5,5,0.3571429,0.2
2763,16841,0.8426379561424255,159,140,22,22,22,0.1383648,0.1571429
2465,14932,0.8095114231109619,68,70,16,16,16,0.2352941,0.2285714
5957,16376,0.9347265958786012,14,11,3,3,3,0.2142857,0.2727273
4843,17179,0.8316024541854858,7,3,0,0,0,0.0,0.0
2774,17264,0.8490434885025024,13,10,2,2,2,0.1538462,0.2
3960,11053,0.8990525007247925,7,3,1,1,1,0.1428571,0.3333333
9479,10609,0.7745559215545654,3,2,0,0,0,0.0,0.0
511,14940,0.8363505005836487,24,36,3,3,3,0.125,0.0833333
7812,14646,0.8278851509094238,10,8,0,0,0,0.0,0.0
1105,15190,0.7657613754272461,4,3,1,1,1,0.25,0.3333333
2141,14584,0.7559235692024231,2,4,1,1,1,0.5,0.25
4215,18369,0.8665395379066467,16,11,4,4,4,0.25,0.3636364
2720,9830,0.8469951152801514,6,3,1,1,1,0.1666667,0.3333333
5692,15705,0.6781996488571167,6,3,1,1,1,0.1666667,0.3333333
2550,18660,0.8735737204551697,73,333,61,61,61,0.8356164,0.1831832
8795,16105,0.8206760883331299,3,3,1,1,1,0.3333333,0.3333333
1617,13351,0.7080711126327515,241,216,41,41,41,0.1701245,0.1898148
6257,18451,0.8329866528511047,5,13,0,0,0,0.0,0.0
1930,12944,0.8096685409545898,7,6,3,3,3,0.4285714,0.5
7377,14281,0.7310214638710022,16,22,2,2,2,0.125,0.0909091
9390,10428,0.8466010689735413,6,2,1,1,1,0.1666667,0.5
3954,17817,0.8902345895767212,91,98,12,12,12,0.1318681,0.122449
2983,16188,0.8197827339172363,3,3,1,1,1,0.3333333,0.3333333
2100,15463,0.842186450958252,4,15,0,0,0,0.0,0.0
9444,17309,0.7852576971054077,71,59,14,14,14,0.1971831,0.2372881
6708,13404,0.8633582592010498,12,5,2,2,2,0.1666667,0.4
5487,13178,0.8275311589241028,20,18,4,4,4,0.2,0.2222222
2670,17799,0.7758316993713379,7,21,0,0,0,0.0,0.0
3904,15866,0.8660320043563843,19,19,3,3,3,0.1578947,0.1578947
2885,11308,0.7950318455696106,8,6,3,3,3,0.375,0.5
1114,11990,0.896041750907898,23,19,1,1,1,0.0434783,0.0526316
1029,17544,0.7358419299125671,4,5,2,2,2,0.5,0.4
8872,14495,0.8561258912086487,20,20,5,5,5,0.25,0.25
281,13300,0.8580058217048645,111,104,14,14,14,0.1261261,0.1346154
902,14816,0.744148850440979,5,5,1,1,1,0.2,0.2
4461,13424,0.8216444253921509,6,5,0,0,0,0.0,0.0
7856,10091,0.8391193151473999,5,3,2,2,2,0.4,0.6666667
2080,12722,0.8842235803604126,235,197,47,47,47,0.2,0.2385787
715,11462,0.8585383892059326,16,26,5,5,5,0.3125,0.1923077
9302,16973,0.7919782400131226,67,65,12,12,12,0.1791045,0.1846154
9535,16766,0.769899308681488,12,18,4,4,4,0.3333333,0.2222222
2482,10522,0.7802906036376953,9,2,0,0,0,0.0,0.0
4189,18343,0.7710154056549072,10,70,5,5,5,0.5,0.0714286
9403,10990,0.8132004141807556,5,8,2,2,2,0.4,0.25
5453,13692,0.7994635701179504,10,5,3,3,3,0.3,0.6
5434,12775,0.8672786951065063,25,28,3,3,3,0.12,0.1071429
1916,11953,0.8733994364738464,9,5,2,2,2,0.2222222,0.4
260,16228,0.7531085014343262,18,6,2,2,2,0.1111111,0.3333333
1054,16274,0.8039195537567139,9,5,3,3,3,0.3333333,0.6
8847,16900,0.759030818939209,5,6,0,0,0,0.0,0.0
4106,12916,0.8790695667266846,15,16,1,1,1,0.0666667,0.0625
3573,15491,0.8362263441085815,7,4,1,1,1,0.1428571,0.25
8371,10146,0.8078814148902893,10,9,3,3,3,0.3,0.3333333
883,12456,0.8001207113265991,25,27,6,6,6,0.24,0.2222222
4422,15144,0.7593531608581543,35,37,4,4,4,0.1142857,0.1081081
9510,18677,0.8042759299278259,50,48,9,9,9,0.18,0.1875
8838,14986,0.8409736752510071,19,10,2,2,2,0.1052632,0.2
115,12211,0.7940011024475098,13,12,0,0,0,0.0,0.0
7274,15589,0.8414305448532104,7,5,1,1,1,0.1428571,0.2
7525,12727,0.8801527619361877,116,134,22,22,22,0.1896552,0.1641791
6954,19025,0.8354959487915039,8,32,4,4,4,0.5,0.125
7942,10126,0.8687258362770081,130,129,26,26,26,0.2,0.2015504
3273,17013,0.8032131791114807,20,32,6,6,6,0.3,0.1875
4673,18001,0.8626376390457153,4,3,1,1,1,0.25,0.3333333
4657,12952,0.7378671169281006,10,13,3,3,3,0.3,0.2307692
2708,17649,0.7396766543388367,7,3,1,1,1,0.1428571,0.3333333
3979,14551,0.8695802688598633,14,29,4,4,4,0.2857143,0.137931
7251,14823,0.8608328104019165,9,7,1,1,1,0.1111111,0.1428571
6006,10447,0.7734514474868774,8,7,2,2,2,0.25,0.2857143
2189,18746,0.8242369890213013,8,6,3,3,3,0.375,0.5
425,11331,0.8033798933029175,10,3,2,2,2,0.2,0.6666667
1078,13962,0.7778865694999695,8,8,1,1,1,0.125,0.125
5276,18680,0.8014776110649109,9,8,1,1,1,0.1111111,0.125
4693,9734,0.7688037753105164,5,3,0,0,0,0.0,0.0
8802,13477,0.850965678691864,62,288,44,44,44,0.7096774,0.1527778
1288,10774,0.8621983528137207,10,8,2,2,2,0.2,0.25
7572,12262,0.8509427309036255,38,53,18,18,18,0.4736842,0.3396226
7429,10084,0.8274099826812744,236,215,52,52,52,0.220339,0.2418605
8437,17256,0.7717928886413574,25,39,6,6,6,0.24,0.1538462
5838,10962,0.6449114084243774,24,41,6,6,6,0.25,0.1463415
7081,17888,0.8469481468200684,4,2,0,0,0,0.0,0.0
4385,17732,0.8140771389007568,2,8,0,0,0,0.0,0.0
4970,10020,0.8620810508728027,36,33,7,7,7,0.1944444,0.2121212
4754,13922,0.7804121971130371,6,10,0,0,0,0.0,0.0
3811,14427,0.9177367687225342,62,67,12,12,12,0.1935484,0.1791045
788,17928,0.7962319850921631,6,3,1,1,1,0.1666667,0.3333333
2128,10118,0.6172373294830322,17,20,3,3,3,0.1764706,0.15
3406,18579,0.8434620499610901,8,8,3,3,3,0.375,0.375
3562,13988,0.9252858757972716,129,136,23,23,23,0.1782946,0.1691176
6730,13385,0.8473703861236572,56,115,18,18,18,0.3214286,0.1565217
7751,9767,0.8348398208618164,5,21,2,2,2,0.4,0.0952381
7603,10506,0.7911243438720703,8,9,1,1,1,0.125,0.1111111
1544,17538,0.8033277988433838,7,8,2,2,2,0.2857143,0.25
514,13645,0.7057213187217712,11,12,6,6,6,0.5454545,0.5
2226,11830,0.8493976593017578,7,5,0,0,0,0.0,0.0
3348,15726,0.7968302369117737,6,4,2,2,2,0.3333333,0.5
2714,12816,0.7994601726531982,11,8,0,0,0,0.0,0.0
789,16823,0.8194705247879028,71,68,17,17,17,0.2394366,0.25
261,10022,0.7609581351280212,14,11,1,1,1,0.0714286,0.0909091
7454,18124,0.8501206636428833,83,109,15,15,15,0.1807229,0.1376147
3659,16233,0.8062777519226074,4,6,1,1,1,0.25,0.1666667
8762,14153,0.8465113639831543,45,51,16,16,16,0.3555556,0.3137255
